# StormTest, 2026-09-07 20:18-21:10 — every line the mod wrote on both sides, visits 10 to 15.
# SERVER = StormTest BepInEx/LogOutput.log; CLIENT = the Gale Default profile's. Read-time stamps from the gapless
# watcher (a line's stamp is when it was read, up to 5 s after it was written). Visits 10-12 on rc2's code (84de90a);
# the server restarted 20:44 on main 2694d3b (PR #54, D5) for visits 13-15. The record is 2026-09-07-stormtest-night.md.

20:20:45 SERVER [Info   :Valkyrie's Cargo] roll: no eligible player: 1 not rested
20:20:45 CLIENT [Info   :Valkyrie's Cargo] admin wire: registered VCargo_reply on the server socket
20:20:45 CLIENT [Info   :Valkyrie's Cargo] deal wire: registered VCargo_dealt on the server socket
20:20:45 CLIENT [Info   :Valkyrie's Cargo] body: source embedded, prefab 'ingvar', 6 clip(s) [Hello 3.75s, Idle 10.00s, Nod 1.25s, Shrug 1.96s, Talk 5.13s, Walk 4.17s], SkinnedMeshRenderer=True, bones=24, tris=31112, mesh bounds y -0.244 to 0.244 (0.94 x 0.49 x 1.37 m), ground offset 0.244 m
20:20:45 CLIENT [Info   :Valkyrie's Cargo] body: the BIND-POSE box implies a 0.244 m offset, which on this asset is an artefact of that box and not a real lift -- the source is authored on a different up-axis and FBX axis conversion does not touch bind-pose bounds. Nothing is placed from this number: Attach and the preview both measure the POSED mesh (BakeMesh). Kept because it is still the fastest way to see a bake 
20:20:51 SERVER [Info   :Valkyrie's Cargo] admin Nomadtest (-765188066): cargo visit 
20:20:51 SERVER [Info   :Valkyrie's Cargo] roll: forced visit: Nomadtest at (-51.49881, 57.12608); 1 eligible, 1 ticket(s)
20:20:51 SERVER [Info   :Valkyrie's Cargo] visit #10 begins: pilot Nomadtest (uid -765188066) at (-51.49881, 57.12608), 300 s, purse 800, seed 601616405
20:20:51 SERVER [Info   :Valkyrie's Cargo] visit #10: flight authored: start (-129.830826, 12.8079586) at 197.9296, descent (-105.761139, 26.4259319) at 158.755676 (50 m short), drop (-62.24335, 51.04711) at 77.92959, straight in 90 m out; bird -658315956:88974, Dverger -658315956:88975, both owned by the pilot
20:20:52 CLIENT [Info   :Valkyrie's Cargo] server answered: cargo visit Nomadtest: forced visit: Nomadtest at (-51.49881, 57.12608); 1 eligible, 1 ticket(s)
20:20:52 CLIENT [Info   :Valkyrie's Cargo] cargo flight #10: flying from (-129.830826, 197.9296, 12.8079586) via (-105.761139, 158.755676, 26.4259319) to (-62.24335, 77.92959, 51.04711), 77.65501 m out at 8 m/s, turning 45 deg/s (radius 10.1859159 m)
20:20:52 CLIENT [Info   :Valkyrie's Cargo] body: dressed Ingvar in a copy of the Dverger's own material ('DvergerBody', shader 'Custom/Creature') with our albedo in it. A baked bundle carries Unity's Standard, which Valheim lights only from direct light.
